City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kendari,ID,82.96,overcast clouds,-3.945,122.4989,Hotel Wixel
7,Faanui,PF,79.97,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
18,Gizo,SB,84.06,overcast clouds,-8.103,156.8419,Imagination Island
19,Valvedditturai,LK,82.42,overcast clouds,9.8167,80.1667,Kanahathy Vadali
21,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
23,Katsuura,JP,76.19,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
26,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
36,Balabac,PH,84.34,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
37,Teknaf,BD,79.18,overcast clouds,20.8624,92.3058,Forestry Guesthouse
40,Tual,ID,80.74,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
47,Sinnamary,GF,80.56,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
48,Marshalltown,US,80.83,clear sky,42.0494,-92.908,Best Western Regency Inn
49,The Valley,AI,84.81,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
51,Charters Towers,AU,82.89,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
58,Santiago Del Estero,AR,76.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
59,Kavaratti,IN,81.25,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
62,Puerto Quijarro,BO,77.0,overcast clouds,-17.7833,-57.7667,Hotel palance
64,Maple Creek,CA,80.65,few clouds,49.9168,-109.4848,Willowbend Campground & Cabins
71,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
77,Bengkulu,ID,78.04,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
78,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
86,Hobyo,SO,77.29,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
88,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
90,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
91,Kavieng,PG,83.86,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
93,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
95,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
96,Butaritari,KI,83.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
100,Umm Kaddadah,SD,81.05,few clouds,13.6017,26.6876,
103,Cockburn Town,TC,83.28,few clouds,21.4612,-71.1419,Osprey Beach Hotel
104,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
115,Kantang,TH,75.29,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
121,Naze,JP,83.32,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
125,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
126,Victoria,HK,86.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
136,Xiaoweizhai,CN,75.54,scattered clouds,26.1903,107.5125,Karst Youth Hostel
137,San Blas,MX,81.68,few clouds,21.5167,-105.2667,Hotel Posada del Rey
143,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
154,Dingle,PH,83.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
156,Sola,VU,84.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
163,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
170,Hilo,US,88.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
171,Kirakira,SB,84.9,overcast clouds,-10.4544,161.9205,SanBiz Lodge
173,Miri,MY,82.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
177,Capoterra,IT,78.51,few clouds,39.1763,8.9718,Ariedo Bed And Breakfast
179,Griffith,US,78.91,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
182,Boromo,BF,79.32,broken clouds,11.75,-2.9333,Sama Camp
183,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
188,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
189,Buloh Kasap,MY,76.91,overcast clouds,2.5536,102.764,Teratak Ixora Segamat
193,Maumere,ID,82.69,overcast clouds,-8.6199,122.2111,Sylvia Hotel
196,Natchitoches,US,81.28,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
197,Mangan,IN,75.09,scattered clouds,27.5167,88.5333,Hotel Mout View
198,Laredo,US,89.89,clear sky,27.5064,-99.5075,La Posada Hotel
199,Airai,TL,76.01,overcast clouds,-8.9266,125.4092,Juvinal Martin
200,Portland,US,75.6,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
203,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
204,Akyab,MM,78.04,overcast clouds,20.15,92.9,Hotel Memory
208,Alexandria,EG,75.16,scattered clouds,31.2156,29.9553,Royal Crown Hotel
212,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
213,Ormond Beach,US,78.1,few clouds,29.2858,-81.0559,Makai Beach Lodge
216,Gwadar,PK,80.46,clear sky,25.1216,62.3254,Sadaf Resort
218,Kousseri,CM,80.56,overcast clouds,12.0769,15.0306,Le Pilotis
219,Tila,MX,82.33,broken clouds,17.4,-92.4833,
221,Alvarado,MX,83.28,few clouds,18.7667,-95.7667,Del Pastor
223,Nha Trang,VN,80.6,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
224,Yulara,AU,80.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
225,Honiara,SB,83.73,overcast clouds,-9.4333,159.95,Heritage Park Hotel
227,Aripuana,BR,75.36,broken clouds,-9.1667,-60.6333,
229,Langsa,ID,75.09,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
231,Tabou,CI,75.15,overcast clouds,4.423,-7.3528,hotêl doufoulougou
236,Sulangan,PH,83.05,overcast clouds,11.1373,123.7228,Maia's Beach Resort
238,Jiazi,CN,81.9,clear sky,22.8779,116.067,Hotel Jin Hao
241,Kalbay,PH,85.84,overcast clouds,5.7233,125.4986,
242,Aden,YE,86.94,clear sky,12.7794,45.0367,Sama Emirate Hotel
243,Roebourne,AU,76.1,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
246,Laguna,US,87.22,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
249,Porto Nacional,BR,75.2,few clouds,-10.7081,-48.4172,Vila Real Hotel
250,Gat,IL,76.91,clear sky,31.61,34.7642,OlusHome
251,Shenjiamen,CN,78.42,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
253,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
255,Yilan,TW,88.36,scattered clouds,24.757,121.753,Dar Chen Hotel
256,Sao Filipe,CV,78.58,overcast clouds,14.8961,-24.4956,Hotel Xaguate
257,Boyolangu,ID,79.68,broken clouds,-8.1181,111.8935,Yos ega cv
261,Mlonggo,ID,78.69,broken clouds,-6.5333,110.7,Asia Metal Art
263,Alice Springs,AU,81.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
264,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
265,Anzio,IT,75.31,few clouds,41.4853,12.6179,Beauty Hotel & SPA
269,Bambanglipuro,ID,80.74,broken clouds,-7.95,110.2833,Puri Brata
270,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
271,Sao Miguel Do Araguaia,BR,83.55,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
275,Oranjestad,AW,84.9,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
276,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
280,Obidos,BR,78.58,scattered clouds,-1.9175,-55.5181,Hotel Amazônia Center
284,Ukiah,US,80.53,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
285,Jaciara,BR,77.34,overcast clouds,-15.9653,-54.9683,Taba Hotel
288,San Patricio,US,83.08,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
289,Las Tunas,CU,82.53,light rain,20.9617,-76.9511,Hotel Cadillac
293,Canguaretama,BR,77.49,scattered clouds,-6.38,-35.1289,Pousada do Italiano
294,Seminole,US,80.85,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
295,Lasem,ID,82.24,broken clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
296,Buala,SB,85.14,light rain,-8.145,159.5921,Maringe Lagoon Lodge
299,Conceicao Do Araguaia,BR,83.84,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
300,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
302,Huilong,CN,81.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
304,Fomboni,KM,76.03,clear sky,-12.28,43.7425,Auberge les abou
306,Biltine,TD,82.78,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
307,San Ramon,US,75.67,clear sky,37.7799,-121.978,San Ramon Marriott
309,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
310,Saint Anthony,US,75.79,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
311,Yanam,IN,77.4,light rain,16.7333,82.2167,The Regency Hotel
314,Amuntai,ID,81.88,overcast clouds,-2.4177,115.2494,Hotel Balqis
322,Labuhan,ID,80.82,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
323,Tsurugi,JP,76.73,few clouds,36.45,136.6333,和田屋 岩魚・鮎・山菜料理
326,Cabo San Lucas,MX,88.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
329,Turan,VN,84.18,few clouds,16.0678,108.2208,Sun River Hotel
331,Nuzvid,IN,76.05,light rain,16.7833,80.85,HI-TECH LODGE
