City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-09-25 01:42:01,42.6001,-73.9662,59.63,82,2,2.28
1,Wasilla,US,2021-09-25 01:45:09,61.5814,-149.4394,38.03,92,90,0.0
2,Ushuaia,AR,2021-09-25 01:41:59,-54.8,-68.3,38.86,87,75,0.0
3,Esperance,AU,2021-09-25 01:45:10,-33.8667,121.9,55.24,53,46,14.36
4,Hermanus,ZA,2021-09-25 01:43:29,-34.4187,19.2345,53.91,83,100,3.02
5,Busselton,AU,2021-09-25 01:43:24,-33.65,115.3333,59.04,58,3,17.27
6,Yellowknife,CA,2021-09-25 01:43:40,62.456,-114.3525,46.92,90,75,16.11
7,Brae,GB,2021-09-25 01:45:12,60.3964,-1.353,51.71,77,98,7.87
8,Mahebourg,MU,2021-09-25 01:42:11,-20.4081,57.7,71.26,94,75,3.44
9,Airai,TL,2021-09-25 01:42:41,-8.9266,125.4092,77.65,36,25,2.53
10,Punta Arenas,CL,2021-09-25 01:39:19,-53.15,-70.9167,41.11,75,90,6.91
11,Rikitea,PF,2021-09-25 01:38:28,-23.1203,-134.9692,73.89,79,100,16.96
12,Abnub,EG,2021-09-25 01:45:13,27.2696,31.1511,75.42,49,0,9.37
13,Pangnirtung,CA,2021-09-25 01:43:45,66.1451,-65.7125,32.45,53,13,3.27
14,Ahipara,NZ,2021-09-25 01:43:56,-35.1667,173.1667,60.93,67,8,8.66
15,Koumac,NC,2021-09-25 01:45:14,-20.5667,164.2833,75.33,60,35,8.16
16,Mizdah,LY,2021-09-25 01:45:15,31.4451,12.9801,68.79,78,5,5.14
17,Pisco,PE,2021-09-25 01:40:40,-13.7,-76.2167,61.02,82,0,6.91
18,Atuona,PF,2021-09-25 01:43:27,-9.8,-139.0333,77.88,79,100,16.96
19,Mataura,NZ,2021-09-25 01:42:38,-46.1927,168.8643,49.48,95,94,12.19
20,Estevan,CA,2021-09-25 01:45:16,49.1334,-102.9842,50.22,25,1,8.05
21,Saskylakh,RU,2021-09-25 01:42:40,71.9167,114.0833,32.11,86,100,13.91
22,Namibe,AO,2021-09-25 01:44:14,-15.1961,12.1522,65.07,91,70,4.76
23,Nuuk,GL,2021-09-25 01:43:09,64.1835,-51.7216,31.46,52,0,18.14
24,Khatanga,RU,2021-09-25 01:44:17,71.9667,102.5,32.61,83,100,8.66
25,Thompson,CA,2021-09-25 01:43:38,55.7435,-97.8558,42.96,93,90,5.75
26,Jamestown,US,2021-09-25 01:43:12,42.097,-79.2353,56.84,79,1,1.01
27,Hobart,AU,2021-09-25 01:44:02,-42.8794,147.3294,51.06,63,20,5.01
28,Victoria,HK,2021-09-25 01:40:43,22.2855,114.1577,89.26,75,62,3.0
29,Sorland,NO,2021-09-25 01:45:18,67.667,12.6934,48.76,76,100,13.24
30,Barrow,US,2021-09-25 01:43:58,71.2906,-156.7887,30.22,80,90,3.44
31,Buala,SB,2021-09-25 01:45:18,-8.145,159.5921,85.59,68,94,7.47
32,Coquimbo,CL,2021-09-25 01:42:40,-29.9533,-71.3436,55.13,94,90,3.44
33,Tura,IN,2021-09-25 01:44:22,25.5198,90.2201,81.73,78,11,2.73
34,Pevek,RU,2021-09-25 01:43:55,69.7008,170.3133,28.89,75,100,12.93
35,Mar Del Plata,AR,2021-09-25 01:42:24,-38.0023,-57.5575,55.13,61,0,1.99
36,Mayo,US,2021-09-25 01:45:20,38.8876,-76.5119,64.22,87,1,0.0
37,Bismil,TR,2021-09-25 01:45:20,37.8486,40.6658,67.62,59,0,3.89
38,Saldanha,ZA,2021-09-25 01:43:23,-33.0117,17.9442,55.87,86,100,4.25
39,Sumenep,ID,2021-09-25 01:45:21,-7.0167,113.8667,85.23,66,89,10.85
40,Saint-Denis,FR,2021-09-25 01:45:22,48.9167,2.3333,57.11,92,0,3.44
41,Kaitangata,NZ,2021-09-25 01:45:22,-46.2817,169.8464,55.9,68,73,13.47
42,Bredasdorp,ZA,2021-09-25 01:41:02,-34.5322,20.0403,47.52,93,96,4.61
43,Aksarka,RU,2021-09-25 01:45:23,66.5606,67.7975,33.6,94,25,4.32
44,Vaini,TO,2021-09-25 01:41:14,-21.2,-175.2,75.36,69,20,14.97
45,Butaritari,KI,2021-09-25 01:43:32,3.0707,172.7902,83.73,73,12,10.83
46,Bajil,YE,2021-09-25 01:45:23,15.0584,43.2851,85.53,68,66,2.55
47,Hilo,US,2021-09-25 01:40:39,19.7297,-155.09,81.28,83,90,10.36
48,Cape Town,ZA,2021-09-25 01:38:51,-33.9258,18.4232,55.27,90,0,4.61
49,Carnarvon,AU,2021-09-25 01:42:55,-24.8667,113.6333,71.67,64,1,13.8
50,Diebougou,BF,2021-09-25 01:45:25,10.9667,-3.25,71.56,92,95,2.48
51,Grimshaw,CA,2021-09-25 01:43:17,56.1834,-117.6027,62.22,42,75,20.71
52,Matamoros,MX,2021-09-25 01:45:25,25.5333,-103.25,80.17,36,5,18.16
53,Namatanai,PG,2021-09-25 01:41:25,-3.6667,152.4333,84.56,69,18,6.33
54,Little Current,CA,2021-09-25 01:45:26,45.9793,-81.9248,59.05,86,14,11.63
55,Zhob,PK,2021-09-25 01:45:26,31.3411,69.4481,72.55,60,0,1.52
56,Tamiahua,MX,2021-09-25 01:45:27,21.2667,-97.45,76.46,73,50,3.96
57,Kangaatsiaq,GL,2021-09-25 01:45:27,68.3065,-53.4641,29.5,83,100,3.58
58,San Patricio,US,2021-09-25 01:43:41,28.017,-97.5169,78.84,57,52,7.63
59,Hamilton,US,2021-09-25 01:43:46,39.1834,-84.5333,62.73,76,1,0.0
60,Georgetown,MY,2021-09-25 01:41:09,5.4112,100.3354,84.88,83,20,1.99
61,Kihei,US,2021-09-25 01:42:19,20.785,-156.4656,86.02,56,1,24.16
62,Maputo,MZ,2021-09-25 01:45:30,-25.9653,32.5892,66.22,91,40,3.44
63,Huarmey,PE,2021-09-25 01:45:30,-10.0681,-78.1522,63.63,84,99,8.59
64,Nouadhibou,MR,2021-09-25 01:44:31,20.931,-17.0347,69.78,88,40,13.8
65,Avarua,CK,2021-09-25 01:41:39,-21.2078,-159.775,77.05,50,96,6.91
66,Klaksvik,FO,2021-09-25 01:45:31,62.2266,-6.589,41.92,71,100,6.82
67,Kruisfontein,ZA,2021-09-25 01:44:50,-34.0033,24.7314,52.03,89,55,5.12
68,Longyan,CN,2021-09-25 01:45:32,25.1072,117.0225,85.35,65,3,2.42
69,Tanete,ID,2021-09-25 01:45:32,-3.9443,119.7848,81.59,73,97,2.95
70,Springbok,ZA,2021-09-25 01:45:33,-29.6643,17.8865,57.97,33,10,3.06
71,Tiksi,RU,2021-09-25 01:42:07,71.6872,128.8694,33.33,77,100,21.32
72,Port Alfred,ZA,2021-09-25 01:43:27,-33.5906,26.891,59.13,83,67,6.82
